state,district,district_label,district_id,incumbent,incumbent_party,pres_source,pres_dem_votes,pres_rep_votes,pres_total_votes,pres_dem_share,pres_rep_share,pres_dem_margin,pres_2020_dem_votes,pres_2020_rep_votes,pres_2020_total_votes,pres_2020_dem_margin,pres_two_party_total,pres_two_party_dem_margin,pres_winner_party,pres_winner,cong_dem_votes,cong_rep_votes,cong_total_votes,cong_winner_party,cong_winner_candidate,cong_winner_votes,cong_two_party_total,cong_two_party_dem_margin,cong_dem_margin,cong_two_party_winner_party,cong_winner,state_name,redistricted_for_story,valid_pres_cong_data,split_ticket_category,split_ticket,dem_won_harris_lost,gop_won_trump_lost,house_source,presidential_source
AR,3,3,AR-3,Steve Womack,R,The Downballot presidential CD results,112073,189161,309672,0.36190872923609496,0.6108430855873311,-0.24893435635123617,110479,180794,300274,-0.23416945856118077,301234,-0.2559073676942178,R,Trump,95652,192101,301084,R,STEVE WOMACK,192101,287753,-0.335179824363256,-0.32033917444965526,R,Republican,Arkansas,FALSE,TRUE,GOP won Trump-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
AR,4,4,AR-4,Bruce Westerman,R,The Downballot presidential CD results,81560,193335,280058,0.2912253890265588,0.69033914403445,-0.39911375500789115,92683,198057,298962,-0.3524661997176899,274895,-0.4066097964677422,R,Trump,73207,197046,270253,R,BRUCE WESTERMAN,197046,270253,-0.45823358112583396,-0.45823358112583396,R,Republican,Arkansas,FALSE,TRUE,GOP won Trump-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
AZ,1,1,AZ-1,David Schweikert,R,The Downballot presidential CD results,216232,230237,450734,0.47973305763488,0.510804598721197,-0.03107154108631699,231886.55445162902,225012.71934677844,462783.8427338809,0.014853230536839013,446469,-0.03136835928138348,R,Trump,208966,225538,434504,R,DAVID SCHWEIKERT,225538,434504,-0.03814004013772025,-0.03814004013772025,R,Republican,Arizona,FALSE,TRUE,GOP won Trump-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
AZ,2,2,AZ-2,Eli Crane,R,The Downballot presidential CD results,174969,237306,416477,0.4201168371842863,0.5697937701241605,-0.14967693293987427,183714.29921550895,215659.4229438583,405633.40505408146,-0.07875368086139317,412275,-0.15120247407676915,R,Trump,184963,221413,406431,R,ELIJAH CRANE,221413,406376,-0.0896952575939524,-0.0896831196439248,R,Republican,Arizona,FALSE,TRUE,GOP won Trump-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
AZ,3,3,AZ-3,Yassamin Ansari,D,The Downballot presidential CD results,147522,62762,213222,0.6918704448884262,0.29435048916153117,0.397519955726895,170840.212988371,54753.60762780655,229284.97979721217,0.5062983430630108,210284,0.40307393810275627,D,Harris,143336,53705,202065,D,YASSAMIN ANSARI,143336,197041,0.45488502392903,0.44357508722440797,D,Democrat,Arizona,FALSE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
AZ,4,4,AZ-4,Greg Stanton,D,The Downballot presidential CD results,182893,159723,347506,0.5263017041432378,0.4596265963753144,0.06667510776792346,201237.56060514637,162975.03356722114,371496.99836559413,0.10299552138041956,342616,0.06762673080066313,D,Harris,176428,152052,334545,D,GREG STANTON,176428,328480,0.07420847540185095,0.07286314247709576,D,Democrat,Arizona,FALSE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
AZ,5,5,AZ-5,Andy Biggs,R,The Downballot presidential CD results,175673,264571,445025,0.39474860962867253,0.5945081736981068,-0.1997595640694343,171277.5645996752,239646.23078310865,417419.2430091725,-0.16378896595797587,440244,-0.20192893032045867,R,Trump,167680,255628,423308,R,ANDY BIGGS,255628,423308,-0.20776361420053482,-0.20776361420053482,R,Republican,Arizona,FALSE,TRUE,GOP won Trump-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
AZ,6,6,AZ-6,Juan Ciscomani,R,The Downballot presidential CD results,216024,219323,440175,0.49076844436871697,0.49826319077639575,-0.007494746407678776,214896.16992311107,214579.976534791,436078.6386562909,7.25083414528982e-4,435347,-0.007577863175811479,R,Trump,204774,215596,431220,R,JUAN CISCOMANI,215596,420370,-0.02574398743963651,-0.025096238578915634,R,Republican,Arizona,FALSE,TRUE,GOP won Trump-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
AZ,7,7,AZ-7,Adelita Grijalva,D,The Downballot presidential CD results,170352,108028,281685,0.6047606368816231,0.3835063989917816,0.22125423788984144,194859.55968940386,97579.75677417807,296840.103341977,0.3277178582678022,278380,0.22388102593577125,D,Harris,171954,99057,271011,D,RAúL M. GRIJALVA,171954,271011,0.2689817018497404,0.2689817018497404,D,Democrat,Arizona,FALSE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
AZ,8,8,AZ-8,Abe Hamadeh,R,The Downballot presidential CD results,162183,226186,392023,0.413707869181145,0.5769712491358925,-0.1632633799547475,171266.36993108926,225760.71333937676,402630.47092456254,-0.13534580053802642,388369,-0.1647994561872858,R,Trump,160344,208269,368613,R,"ABRAHAM \""ABE\"" HAMADEH",208269,368613,-0.1300144053519545,-0.1300144053519545,R,Republican,Arizona,FALSE,TRUE,GOP won Trump-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
AZ,9,9,AZ-9,Paul Gosar,R,The Downballot presidential CD results,137012,262106,402472,0.3404261662923135,0.6512403347313602,-0.31081416843904675,132164.70859606526,225718.5390828811,363126.31811722834,-0.2576343983324662,399118,-0.31342610456055603,R,Trump,132640,249583,382223,R,PAUL A. GOSAR,249583,382223,-0.3059549006731672,-0.3059549006731672,R,Republican,Arizona,FALSE,TRUE,GOP won Trump-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,1,1,CA-1,VACANT (LaMalfa),R,The Downballot presidential CD results,118090,199649,326893,0.36124970556114694,0.6107472475703059,-0.2494975420091589,136550.29931844337,203077.02886011382,348189.47596961935,-0.1910647338102635,317739,-0.2566855186174816,R,Trump,110636,208592,319228,R,DOUG LAMALFA,208592,319228,-0.30685278233738894,-0.30685278233738894,R,Republican,California,TRUE,TRUE,GOP won Trump-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,2,2,CA-2,Jared Huffman,D,The Downballot presidential CD results,276863,100474,390600,0.7088146441372248,0.25722990271377366,0.4515847414234512,310591.84786744876,101570.20026800496,422441.05996252014,0.49479481851974483,377337,0.4674574717030135,D,Harris,272883,106734,379617,D,JARED HUFFMAN,272883,379617,0.43767534119915597,0.43767534119915597,D,Democrat,California,TRUE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,3,3,CA-3,Kevin Kiley,R,The Downballot presidential CD results,201922,218497,434048,0.46520661309348277,0.5033936338838101,-0.03818702079032732,211790.45113102716,219761.84178614305,442450.980281971,-0.018016438001868085,420419,-0.03942495462859671,R,Trump,188067,234246,422313,R,KEVIN KILEY,234246,422313,-0.10934780601118128,-0.10934780601118128,R,Republican,California,TRUE,TRUE,GOP won Trump-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,4,4,CA-4,Mike Thompson,D,The Downballot presidential CD results,225203,115410,351669,0.6403834287355439,0.32817791730291834,0.31220551143262554,250307.70966737028,113844.3735954732,373277.6323734566,0.3655813374195652,340613,0.32233942920557934,D,Harris,227730,114950,342680,D,MIKE THOMPSON,227730,342680,0.32911170771565307,0.32911170771565307,D,Democrat,California,TRUE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,5,5,CA-5,Tom McClintock,R,The Downballot presidential CD results,151686,219092,380505,0.39864390743879846,0.5757926965480086,-0.17714878910921011,171424.32596218097,220770.02274727722,401076.14740172226,-0.12303323721635095,370778,-0.1817961151956157,R,Trump,140919,227643,368562,R,TOM MCCLINTOCK,227643,368562,-0.23530369381542318,-0.23530369381542318,R,Republican,California,TRUE,TRUE,GOP won Trump-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,6,6,CA-6,Ami Bera,D,The Downballot presidential CD results,166463,124666,301412,0.552277281594628,0.41360662481918437,0.1386706567754436,192872.80548882307,131468.4797078239,333335.8033068152,0.18421161234960487,291129,0.1435686585671644,D,Harris,165408,121664,287072,D,AMI BERA,165408,287072,0.1523798907591127,0.1523798907591127,D,Democrat,California,TRUE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,7,7,CA-7,Doris Matsui,D,The Downballot presidential CD results,195104,103118,309198,0.6310002005187615,0.33350151035905795,0.29749869015970354,228897.28537186867,102736.72504774154,339420.37353026506,0.37169412964798887,298222,0.30844806888827786,D,Harris,197429,98341,295770,D,DORIS O. MATSUI,197429,295770,0.33501707407783077,0.33501707407783077,D,Democrat,California,TRUE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,8,8,CA-8,John Garamendi,D,The Downballot presidential CD results,200015,75771,285116,0.7015214859916665,0.2657549909510515,0.43576649504061504,244069.81187089928,70550.30326633005,321343.00833484053,0.5399822124767106,275786,0.4505087277816858,D,Harris,201962,71068,273030,D,JOHN GARAMENDI,201962,273030,0.479412518770831,0.479412518770831,D,Democrat,California,TRUE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,9,9,CA-9,Josh Harder,D,The Downballot presidential CD results,122904,127491,258203,0.47599756780517655,0.4937626596127853,-0.01776509180760877,157640.26093967154,121641.7431521751,285396.7640673477,0.12613498931964606,250395,-0.018319055891691128,R,Trump,130183,121174,251357,D,JOSH HARDER,130183,251357,0.03584145259531264,0.03584145259531264,D,Democrat,California,TRUE,TRUE,Dem won Trump-won district,TRUE,TRUE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,10,10,CA-10,Mark DeSaulnier,D,The Downballot presidential CD results,247321,119198,379290,0.6520630652007698,0.31426612881963667,0.3377969363811332,280972.6464746636,119815.00463013326,409383.329458667,0.39365951236370855,366519,0.34956714385884496,D,Harris,242325,122219,364544,D,MARK DESAULNIER,242325,364544,0.32946914501404495,0.32946914501404495,D,Democrat,California,TRUE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,11,11,CA-11,Nancy Pelosi,D,The Downballot presidential CD results,295463,50870,361182,0.8180446423132935,0.14084312064277843,0.6772015216705152,339794.6778517486,46210.40635613756,393813.8048495157,0.7454900460073907,346333,0.7062364833844883,D,Harris,274796,64315,339111,D,NANCY PELOSI,274796,339111,0.6206846725703383,0.6206846725703383,D,Democrat,California,TRUE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,12,12,CA-12,Lateefah Simon,D,The Downballot presidential CD results,269148,33869,318386,0.8453512403183557,0.10637716482508654,0.7389740754932692,328829.8746513364,31733.66866405665,368205.8566213829,0.8068752863232607,303017,0.7764547863651214,D,Harris,283025,0,283025,D,LATEEFAH SIMON,185176,283025,1,1,D,Democrat,California,TRUE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,13,13,CA-13,Adam Gray,D,The Downballot presidential CD results,100559,112433,218799,0.4595953363589413,0.5138643229630848,-0.05426898660414353,125260.9671239566,100222.1355820828,230706.49619963946,0.10853110750815914,212992,-0.05574857271634615,R,Trump,105554,105367,210921,D,ADAM GRAY,105554,210921,8.865878693918576e-4,8.865878693918576e-4,D,Democrat,California,TRUE,TRUE,Dem won Trump-won district,TRUE,TRUE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,14,14,CA-14,VACANT (Swalwell),D,The Downballot presidential CD results,191274,88263,290778,0.6578007964839155,0.3035408455935456,0.35425995089036993,239561.29345638675,87625.95903230514,334247.82983499905,0.45455892563037514,279537,0.36850577919917576,D,Harris,187263,89125,276388,D,ERIC SWALWELL,187263,276388,0.35507330274831034,0.35507330274831034,D,Democrat,California,TRUE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,15,15,CA-15,Kevin Mullin,D,The Downballot presidential CD results,220603,74250,305590,0.721892077620341,0.24297261036028667,0.47891946726005435,272883.13876970956,71551.50719552091,351078.988231509,0.5734653406299163,294853,0.4963592027213561,D,Harris,211648,77896,289544,D,KEVIN MULLIN,211648,289544,0.46194015417345896,0.46194015417345896,D,Democrat,California,TRUE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,16,16,CA-16,Sam Liccardo,D,The Downballot presidential CD results,249344,82398,344065,0.7247002746574048,0.23948381846453431,0.4852164561928705,288192.5445743358,85592.80993976361,382082.04651333427,0.5302519091995641,331742,0.5032404700037981,D,Harris,308476,0,308476,D,SAM LICCARDO,179583,308476,1,1,D,Democrat,California,TRUE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,17,17,CA-17,Ro Khanna,D,The Downballot presidential CD results,176438,76249,264323,0.6675090703419679,0.2884690322068076,0.37904003813516035,219541.89855550282,76380.7680822566,301898.0915002489,0.4742034961593263,252687,0.39649447735736304,D,Harris,172462,82415,254877,D,RO KHANNA,172462,254877,0.3532959035142441,0.3532959035142441,D,Democrat,California,TRUE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,18,18,CA-18,Zoe Lofgren,D,The Downballot presidential CD results,149269,79571,236237,0.6318612241096865,0.33682700000423305,0.29503422410545344,190116.91605774916,72029.18628371992,267950.74870598374,0.44070684759908696,228840,0.3045708792169201,D,Harris,147674,80832,228506,D,ZOE LOFGREN,147674,228506,0.29251748312954584,0.29251748312954584,D,Democrat,California,TRUE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,19,19,CA-19,Jimmy Panetta,D,The Downballot presidential CD results,246403,116909,376513,0.6544342426423523,0.3105045509716796,0.34392969167067267,283244.67326342314,119899.66830519942,412572.7777594277,0.39591803861928726,363312,0.3564264323776809,D,Harris,252458,111862,364320,D,JIMMY PANETTA,252458,364320,0.3859134826526131,0.3859134826526131,D,Democrat,California,TRUE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,20,20,CA-20,Vince Fong,R,The Downballot presidential CD results,110642,210246,328446,0.33686511633571425,0.6401234906194626,-0.30325837428374836,127496.19134668203,214492.4885216136,349862.2033765034,-0.24865874717341419,320888,-0.31040113684525444,R,Trump,0,288788,288788,R,VINCE FONG,187862,288788,-1,-1,R,Republican,California,TRUE,TRUE,GOP won Trump-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,21,21,CA-21,Jim Costa,D,The Downballot presidential CD results,101220,93644,200112,0.5058167426241305,0.4679579435516111,0.03785879907251938,133827.45737041073,87856.20373964576,226361.51216748467,0.20308776518841637,194864,0.0388783972411528,D,Harris,102798,92733,195531,D,JIM COSTA,102798,195531,0.051475213648986606,0.051475213648986606,D,Democrat,California,TRUE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,22,22,CA-22,David Valadao,R,The Downballot presidential CD results,79359,89469,173377,0.4577250731065828,0.5160373059863765,-0.05831223287979376,103962.78914608392,79681.48720159761,188154.53217727444,0.12904978510753629,168828,-0.05988343165825574,R,Trump,78023,89484,167507,R,DAVID G. VALADAO,89484,167507,-0.06842102121105387,-0.06842102121105387,R,Republican,California,TRUE,TRUE,GOP won Trump-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,23,23,CA-23,Jay Obernolte,R,The Downballot presidential CD results,110434,156700,274456,0.4023741510478911,0.570947620019238,-0.16857346897134695,130953.1707633125,160218.183307962,298345.64766332257,-0.09809096520715627,267134,-0.17319397755433602,R,Trump,105563,159286,264849,R,JAY OBERNOLTE,159286,264849,-0.2028438846285997,-0.2028438846285997,R,Republican,California,TRUE,TRUE,GOP won Trump-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,24,24,CA-24,Salud Carbajal,D,The Downballot presidential CD results,214713,126508,352206,0.6096233454285276,0.3591875209394502,0.25043582448907736,240343.63465522166,130117.1195743433,379417.5696349514,0.2905150522864043,341221,0.25849815808522925,D,Harris,214724,127755,342479,D,SALUD O. CARBAJAL,214724,342479,0.25393965761404347,0.25393965761404347,D,Democrat,California,TRUE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,25,25,CA-25,Raul Ruiz,D,The Downballot presidential CD results,125529,119328,250727,0.5006600804859469,0.4759280013720102,0.02473207911393671,150324.0994836148,109749.31363936007,265267.62928235775,0.1529579238673931,244857,0.02532498560384224,D,Harris,137837,107194,245031,D,RAUL RUIZ,137837,245031,0.12505764576727027,0.12505764576727027,D,Democrat,California,TRUE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,26,26,CA-26,Julia Brownley,D,The Downballot presidential CD results,190849,145316,345925,0.5517062947170629,0.42007949700079494,0.13162679771626795,222994.4232568113,147421.92408145647,378303.115227328,0.19976705486536156,336165,0.13544836612972797,D,Harris,187393,146913,334306,D,JULIA BROWNLEY,187393,334306,0.12108666909956746,0.12108666909956746,D,Democrat,California,TRUE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,27,27,CA-27,George Whitesides,D,The Downballot presidential CD results,157170,145061,311417,0.5046930642835812,0.46580950943590105,0.038883554847680135,188108.0279996136,145889.52298250547,341466.94111344183,0.12363863066639397,302231,0.04006538045402358,D,Harris,154040,146050,300090,D,GEORGE WHITESIDES,154040,300090,0.02662534572961445,0.02662534572961445,D,Democrat,California,TRUE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,28,28,CA-28,Judy Chu,D,The Downballot presidential CD results,204263,115237,330517,0.6180105713170578,0.34865680131430454,0.2693537700027533,242549.0203755634,117110.52563632696,366847.2358088506,0.34193659511338786,319500,0.278641627543036,D,Harris,204489,110455,314944,D,JUDY CHU,204489,314944,0.29857371469213573,0.29857371469213573,D,Democrat,California,TRUE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,29,29,CA-29,Luz Rivas,D,The Downballot presidential CD results,154257,72714,234315,0.6583317329236285,0.31032584341591446,0.348005889507714,204923.61516787214,63884.782514039834,274903.478034427,0.5130485567598733,226971,0.35926616175634773,D,Harris,146312,63374,209686,D,LUZ MARIA RIVAS,146312,209686,0.3955342750588976,0.3955342750588976,D,Democrat,California,TRUE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,30,30,CA-30,Laura Friedman,D,The Downballot presidential CD results,233138,94036,338818,0.6880921320590996,0.2775413348759511,0.41055079718314846,273895.43885464454,98575.52599134996,379373.51520102634,0.46213007982487725,327174,0.42516214613630665,D,Harris,213100,98559,311659,D,LAURA FRIEDMAN,213100,311659,0.36752027055210984,0.36752027055210984,D,Democrat,California,TRUE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,31,31,CA-31,Gil Cisneros,D,The Downballot presidential CD results,151581,106588,266185,0.5694573323064785,0.40042827356913424,0.1690290587373443,198028.13875996857,102679.08230781685,307073.0341576843,0.3105093767471268,258169,0.17427731447230302,D,Harris,148095,99856,247951,D,GIL CISNEROS,148095,247951,0.19455053619465137,0.19455053619465137,D,Democrat,California,TRUE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,32,32,CA-32,Brad Sherman,D,The Downballot presidential CD results,224304,114803,349320,0.6421161113019581,0.3286470857666323,0.3134690255353258,271208.83769191307,112043.62389249055,390331.81924681325,0.40776899538077305,339107,0.32290987800310816,D,Harris,212934,108711,321645,D,BRAD SHERMAN,212934,321645,0.3240311523574127,0.3240311523574127,D,Democrat,California,TRUE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
CA,33,33,CA-33,Pete Aguilar,D,The Downballot presidential CD results,129054,107755,243888,0.5291527258413699,0.4418216558420259,0.08733106999934398,168265.84750411144,99017.34314112597,273477.56502066966,0.253214571212639,236809,0.08994168295968481,D,Harris,137197,96078,233275,D,PETE AGUILAR,137197,233275,0.17626835280248634,0.17626835280248634,D,Democrat,California,TRUE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
