state,district_id,incumbent,incumbent_party,presidential_winner,house_winner_party,house_winner,split_ticket_type,in_redrawn_state
CA,CA-26,Julia Brownley,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-27,George Whitesides,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-28,Judy Chu,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-29,Luz Rivas,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-30,Laura Friedman,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-31,Gil Cisneros,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-32,Brad Sherman,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-33,Pete Aguilar,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-34,Jimmy Gomez,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-35,Norma Torres,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-36,Ted Lieu,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-37,Sydney Kamlager-Dove,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-38,Linda Sanchez,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-39,Mark Takano,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-40,Young Kim,R,Trump,R,Republican,Same party won president and House,TRUE
CA,CA-41,Ken Calvert,R,Trump,R,Republican,Same party won president and House,TRUE
CA,CA-42,Robert Garcia,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-43,Maxine Waters,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-44,Nanette Barragan,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-45,Derek Tran,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-46,Lou Correa,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-47,Dave Min,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-48,Darrell Issa,R,Trump,R,Republican,Same party won president and House,TRUE
CA,CA-49,Mike Levin,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-50,Scott Peters,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-51,Sara Jacobs,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-52,Juan Vargas,D,Harris,D,Democrat,Same party won president and House,TRUE
CO,CO-1,Diana DeGette,D,Harris,D,Democrat,Same party won president and House,FALSE
CO,CO-2,Joe Neguse,D,Harris,D,Democrat,Same party won president and House,FALSE
CO,CO-3,Jeff Hurd,R,Trump,R,Republican,Same party won president and House,FALSE
CO,CO-4,Lauren Boebert,R,Trump,R,Republican,Same party won president and House,FALSE
CO,CO-5,Jeff Crank,R,Trump,R,Republican,Same party won president and House,FALSE
CO,CO-6,Jason Crow,D,Harris,D,Democrat,Same party won president and House,FALSE
CO,CO-7,Brittany Pettersen,D,Harris,D,Democrat,Same party won president and House,FALSE
CO,CO-8,Gabe Evans,R,Trump,R,Republican,Same party won president and House,FALSE
CT,CT-1,John Larson,D,Harris,D,Democrat,Same party won president and House,FALSE
CT,CT-2,Joe Courtney,D,Harris,D,Democrat,Same party won president and House,FALSE
CT,CT-3,Rosa DeLauro,D,Harris,D,Democrat,Same party won president and House,FALSE
CT,CT-4,Jim Himes,D,Harris,D,Democrat,Same party won president and House,FALSE
CT,CT-5,Jahana Hayes,D,Harris,D,Democrat,Same party won president and House,FALSE
DE,DE-AL,Sarah McBride,D,Harris,D,Democrat,Same party won president and House,FALSE
FL,FL-1,Jimmy Patronis,R,Trump,R,Republican,Same party won president and House,TRUE
FL,FL-2,Neal Dunn,R,Trump,R,Republican,Same party won president and House,TRUE
FL,FL-3,Kat Cammack,R,Trump,R,Republican,Same party won president and House,TRUE
FL,FL-4,Aaron Bean,R,Trump,R,Republican,Same party won president and House,TRUE
FL,FL-5,John Rutherford,R,Trump,R,Republican,Same party won president and House,TRUE
FL,FL-6,Randy Fine,R,Trump,R,Republican,Same party won president and House,TRUE
FL,FL-7,Cory Mills,R,Trump,R,Republican,Same party won president and House,TRUE
FL,FL-8,Mike Haridopolos,R,Trump,R,Republican,Same party won president and House,TRUE
FL,FL-9,Darren Soto,D,Harris,D,Democrat,Same party won president and House,TRUE
FL,FL-10,Maxwell Frost,D,Harris,D,Democrat,Same party won president and House,TRUE
FL,FL-11,Daniel Webster,R,Trump,R,Republican,Same party won president and House,TRUE
FL,FL-12,Gus Bilirakis,R,Trump,R,Republican,Same party won president and House,TRUE
FL,FL-13,Anna Paulina Luna,R,Trump,R,Republican,Same party won president and House,TRUE
FL,FL-14,Kathy Castor,D,Harris,D,Democrat,Same party won president and House,TRUE
FL,FL-15,Laurel Lee,R,Trump,R,Republican,Same party won president and House,TRUE
FL,FL-16,Vern Buchanan,R,Trump,R,Republican,Same party won president and House,TRUE
FL,FL-17,Greg Steube,R,Trump,R,Republican,Same party won president and House,TRUE
FL,FL-18,Scott Franklin,R,Trump,R,Republican,Same party won president and House,TRUE
FL,FL-19,Byron Donalds,R,Trump,R,Republican,Same party won president and House,TRUE
FL,FL-20,VACANT (Cherfilus-McCormick),D,Harris,D,Democrat,Same party won president and House,TRUE
FL,FL-21,Brian Mast,R,Trump,R,Republican,Same party won president and House,TRUE
FL,FL-22,Lois Frankel,D,Harris,D,Democrat,Same party won president and House,TRUE
FL,FL-23,Jared Moskowitz,D,Harris,D,Democrat,Same party won president and House,TRUE
FL,FL-24,Frederica Wilson,D,Harris,D,Democrat,Same party won president and House,TRUE
FL,FL-25,Debbie Wasserman Schultz,D,Harris,D,Democrat,Same party won president and House,TRUE
FL,FL-26,Mario Diaz-Balart,R,Trump,R,Republican,Same party won president and House,TRUE
FL,FL-27,Maria Elvira Salazar,R,Trump,R,Republican,Same party won president and House,TRUE
FL,FL-28,Carlos Gimenez,R,Trump,R,Republican,Same party won president and House,TRUE
GA,GA-1,Buddy Carter,R,Trump,R,Republican,Same party won president and House,FALSE
GA,GA-2,Sanford Bishop,D,Harris,D,Democrat,Same party won president and House,FALSE
GA,GA-3,Brian Jack,R,Trump,R,Republican,Same party won president and House,FALSE
GA,GA-4,Hank Johnson,D,Harris,D,Democrat,Same party won president and House,FALSE
GA,GA-5,Nikema Williams,D,Harris,D,Democrat,Same party won president and House,FALSE
GA,GA-6,Lucy McBath,D,Harris,D,Democrat,Same party won president and House,FALSE
GA,GA-7,Rich McCormick,R,Trump,R,Republican,Same party won president and House,FALSE
GA,GA-8,Austin Scott,R,Trump,R,Republican,Same party won president and House,FALSE
GA,GA-9,Andrew Clyde,R,Trump,R,Republican,Same party won president and House,FALSE
GA,GA-10,Mike Collins,R,Trump,R,Republican,Same party won president and House,FALSE
GA,GA-11,Barry Loudermilk,R,Trump,R,Republican,Same party won president and House,FALSE
GA,GA-12,Rick Allen,R,Trump,R,Republican,Same party won president and House,FALSE
GA,GA-13,VACANT (Scott),D,Harris,D,Democrat,Same party won president and House,FALSE
GA,GA-14,Clay Fuller,R,Trump,R,Republican,Same party won president and House,FALSE
HI,HI-1,Ed Case,D,Harris,D,Democrat,Same party won president and House,FALSE
HI,HI-2,Jill Tokuda,D,Harris,D,Democrat,Same party won president and House,FALSE
IA,IA-1,Mariannette Miller-Meeks,R,Trump,R,Republican,Same party won president and House,FALSE
IA,IA-2,Ashley Hinson,R,Trump,R,Republican,Same party won president and House,FALSE
IA,IA-3,Zach Nunn,R,Trump,R,Republican,Same party won president and House,FALSE
IA,IA-4,Randy Feenstra,R,Trump,R,Republican,Same party won president and House,FALSE
ID,ID-1,Russ Fulcher,R,Trump,R,Republican,Same party won president and House,FALSE
ID,ID-2,Mike Simpson,R,Trump,R,Republican,Same party won president and House,FALSE
IL,IL-1,Jonathan Jackson,D,Harris,D,Democrat,Same party won president and House,FALSE
IL,IL-2,Robin Kelly,D,Harris,D,Democrat,Same party won president and House,FALSE
IL,IL-3,Delia Ramirez,D,Harris,D,Democrat,Same party won president and House,FALSE
IL,IL-4,Chuy Garcia,D,Harris,D,Democrat,Same party won president and House,FALSE
IL,IL-5,Mike Quigley,D,Harris,D,Democrat,Same party won president and House,FALSE
IL,IL-6,Sean Casten,D,Harris,D,Democrat,Same party won president and House,FALSE
IL,IL-7,Danny Davis,D,Harris,D,Democrat,Same party won president and House,FALSE
IL,IL-8,Raja Krishnamoorthi,D,Harris,D,Democrat,Same party won president and House,FALSE
IL,IL-9,Jan Schakowsky,D,Harris,D,Democrat,Same party won president and House,FALSE
IL,IL-10,Brad Schneider,D,Harris,D,Democrat,Same party won president and House,FALSE
IL,IL-11,Bill Foster,D,Harris,D,Democrat,Same party won president and House,FALSE
IL,IL-12,Mike Bost,R,Trump,R,Republican,Same party won president and House,FALSE
IL,IL-13,Nikki Budzinski,D,Harris,D,Democrat,Same party won president and House,FALSE
IL,IL-14,Lauren Underwood,D,Harris,D,Democrat,Same party won president and House,FALSE
IL,IL-15,Mary Miller,R,Trump,R,Republican,Same party won president and House,FALSE
IL,IL-16,Darin LaHood,R,Trump,R,Republican,Same party won president and House,FALSE
IL,IL-17,Eric Sorensen,D,Harris,D,Democrat,Same party won president and House,FALSE
IN,IN-1,Frank Mrvan,D,Harris,D,Democrat,Same party won president and House,FALSE
IN,IN-2,Rudy Yakym,R,Trump,R,Republican,Same party won president and House,FALSE
IN,IN-3,Marlin Stutzman,R,Trump,R,Republican,Same party won president and House,FALSE
IN,IN-4,Jim Baird,R,Trump,R,Republican,Same party won president and House,FALSE
IN,IN-5,Victoria Spartz,R,Trump,R,Republican,Same party won president and House,FALSE
IN,IN-6,Jefferson Shreve,R,Trump,R,Republican,Same party won president and House,FALSE
IN,IN-7,Andre Carson,D,Harris,D,Democrat,Same party won president and House,FALSE
IN,IN-8,Mark Messmer,R,Trump,R,Republican,Same party won president and House,FALSE
IN,IN-9,Erin Houchin,R,Trump,R,Republican,Same party won president and House,FALSE
KS,KS-1,Tracey Mann,R,Trump,R,Republican,Same party won president and House,FALSE
KS,KS-2,Derek Schmidt,R,Trump,R,Republican,Same party won president and House,FALSE
KS,KS-3,Sharice Davids,D,Harris,D,Democrat,Same party won president and House,FALSE
KS,KS-4,Ron Estes,R,Trump,R,Republican,Same party won president and House,FALSE
KY,KY-1,James Comer,R,Trump,R,Republican,Same party won president and House,FALSE
KY,KY-2,Brett Guthrie,R,Trump,R,Republican,Same party won president and House,FALSE
KY,KY-3,Morgan McGarvey,D,Harris,D,Democrat,Same party won president and House,FALSE
KY,KY-4,Thomas Massie,R,Trump,R,Republican,Same party won president and House,FALSE
KY,KY-5,Hal Rogers,R,Trump,R,Republican,Same party won president and House,FALSE
KY,KY-6,Andy Barr,R,Trump,R,Republican,Same party won president and House,FALSE
LA,LA-1,Steve Scalise,R,Trump,R,Republican,Same party won president and House,TRUE
LA,LA-2,Troy Carter,D,Harris,D,Democrat,Same party won president and House,TRUE
LA,LA-3,Clay Higgins,R,Trump,R,Republican,Same party won president and House,TRUE
LA,LA-4,Mike Johnson,R,Trump,R,Republican,Same party won president and House,TRUE
LA,LA-5,Julia Letlow,R,Trump,R,Republican,Same party won president and House,TRUE
LA,LA-6,Cleo Fields,D,Harris,D,Democrat,Same party won president and House,TRUE
MA,MA-1,Richard Neal,D,Harris,D,Democrat,Same party won president and House,FALSE
MA,MA-2,Jim McGovern,D,Harris,D,Democrat,Same party won president and House,FALSE
MA,MA-3,Lori Trahan,D,Harris,D,Democrat,Same party won president and House,FALSE
MA,MA-4,Jake Auchincloss,D,Harris,D,Democrat,Same party won president and House,FALSE
MA,MA-5,Katherine Clark,D,Harris,D,Democrat,Same party won president and House,FALSE
MA,MA-6,Seth Moulton,D,Harris,D,Democrat,Same party won president and House,FALSE
MA,MA-7,Ayanna Pressley,D,Harris,D,Democrat,Same party won president and House,FALSE
MA,MA-8,Stephen Lynch,D,Harris,D,Democrat,Same party won president and House,FALSE
MA,MA-9,Bill Keating,D,Harris,D,Democrat,Same party won president and House,FALSE
MD,MD-1,Andy Harris,R,Trump,R,Republican,Same party won president and House,FALSE
MD,MD-2,Johnny Olszewski,D,Harris,D,Democrat,Same party won president and House,FALSE
MD,MD-3,Sarah Elfreth,D,Harris,D,Democrat,Same party won president and House,FALSE
MD,MD-4,Glenn Ivey,D,Harris,D,Democrat,Same party won president and House,FALSE
MD,MD-5,Steny Hoyer,D,Harris,D,Democrat,Same party won president and House,FALSE
MD,MD-6,April McClain Delaney,D,Harris,D,Democrat,Same party won president and House,FALSE
MD,MD-7,Kweisi Mfume,D,Harris,D,Democrat,Same party won president and House,FALSE
MD,MD-8,Jamie Raskin,D,Harris,D,Democrat,Same party won president and House,FALSE
ME,ME-1,Chellie Pingree,D,Harris,D,Democrat,Same party won president and House,FALSE
ME,ME-2,Jared Golden,D,Trump,D,Democrat,Democrat won Trump district,FALSE
MI,MI-1,Jack Bergman,R,Trump,R,Republican,Same party won president and House,FALSE
MI,MI-2,John Moolenaar,R,Trump,R,Republican,Same party won president and House,FALSE
MI,MI-3,Hillary Scholten,D,Harris,D,Democrat,Same party won president and House,FALSE
MI,MI-4,Bill Huizenga,R,Trump,R,Republican,Same party won president and House,FALSE
MI,MI-5,Tim Walberg,R,Trump,R,Republican,Same party won president and House,FALSE
MI,MI-6,Debbie Dingell,D,Harris,D,Democrat,Same party won president and House,FALSE
MI,MI-7,Tom Barrett,R,Trump,R,Republican,Same party won president and House,FALSE
MI,MI-8,Kristen McDonald Rivet,D,Trump,D,Democrat,Democrat won Trump district,FALSE
MI,MI-9,Lisa McClain,R,Trump,R,Republican,Same party won president and House,FALSE
MI,MI-10,John James,R,Trump,R,Republican,Same party won president and House,FALSE
MI,MI-11,Haley Stevens,D,Harris,D,Democrat,Same party won president and House,FALSE
MI,MI-12,Rashida Tlaib,D,Harris,D,Democrat,Same party won president and House,FALSE
MI,MI-13,Shri Thanedar,D,Harris,D,Democrat,Same party won president and House,FALSE
MN,MN-1,Brad Finstad,R,Trump,R,Republican,Same party won president and House,FALSE
MN,MN-2,Angie Craig,D,Harris,D,Democrat,Same party won president and House,FALSE
MN,MN-3,Kelly Morrison,D,Harris,R,Republican,Republican won Harris district,FALSE
MN,MN-4,Betty McCollum,D,Harris,D,Democrat,Same party won president and House,FALSE
MN,MN-5,Ilhan Omar,D,Harris,D,Democrat,Same party won president and House,FALSE
MN,MN-6,Tom Emmer,R,Trump,R,Republican,Same party won president and House,FALSE
MN,MN-7,Michelle Fischbach,R,Trump,R,Republican,Same party won president and House,FALSE
MN,MN-8,Pete Stauber,R,Trump,R,Republican,Same party won president and House,FALSE
MO,MO-1,Wesley Bell,D,Harris,D,Democrat,Same party won president and House,TRUE
MO,MO-2,Ann Wagner,R,Trump,R,Republican,Same party won president and House,TRUE
MO,MO-3,Bob Onder,R,Trump,R,Republican,Same party won president and House,TRUE
MO,MO-4,Mark Alford,R,Trump,R,Republican,Same party won president and House,TRUE
MO,MO-5,Emanuel Cleaver,D,Harris,D,Democrat,Same party won president and House,TRUE
MO,MO-6,Sam Graves,R,Trump,R,Republican,Same party won president and House,TRUE
MO,MO-7,Eric Burlison,R,Trump,R,Republican,Same party won president and House,TRUE
MO,MO-8,Jason Smith,R,Trump,R,Republican,Same party won president and House,TRUE
MS,MS-1,Trent Kelly,R,Trump,R,Republican,Same party won president and House,FALSE
MS,MS-2,Bennie Thompson,D,Harris,D,Democrat,Same party won president and House,FALSE
MS,MS-3,Michael Guest,R,Trump,R,Republican,Same party won president and House,FALSE
MS,MS-4,Mike Ezell,R,Trump,R,Republican,Same party won president and House,FALSE
MT,MT-1,Ryan Zinke,R,Trump,R,Republican,Same party won president and House,FALSE
MT,MT-2,Troy Downing,R,Trump,R,Republican,Same party won president and House,FALSE
NC,NC-1,Don Davis,D,Trump,D,Democrat,Democrat won Trump district,TRUE
NC,NC-2,Deborah Ross,D,Harris,D,Democrat,Same party won president and House,TRUE
NC,NC-3,Greg Murphy,R,Trump,R,Republican,Same party won president and House,TRUE
NC,NC-4,Valerie Foushee,D,Harris,D,Democrat,Same party won president and House,TRUE
NC,NC-5,Virginia Foxx,R,Trump,R,Republican,Same party won president and House,TRUE
NC,NC-6,Addison McDowell,R,Trump,R,Republican,Same party won president and House,TRUE
NC,NC-7,David Rouzer,R,Trump,R,Republican,Same party won president and House,TRUE
NC,NC-8,Mark Harris,R,Trump,R,Republican,Same party won president and House,TRUE
NC,NC-9,Richard Hudson,R,Trump,R,Republican,Same party won president and House,TRUE
NC,NC-10,Pat Harrigan,R,Trump,R,Republican,Same party won president and House,TRUE
NC,NC-11,Chuck Edwards,R,Trump,R,Republican,Same party won president and House,TRUE
NC,NC-12,Alma Adams,D,Harris,D,Democrat,Same party won president and House,TRUE
NC,NC-13,Brad Knott,R,Trump,R,Republican,Same party won president and House,TRUE
NC,NC-14,Tim Moore,R,Trump,R,Republican,Same party won president and House,TRUE
ND,ND-AL,Julie Fedorchak,R,Trump,R,Republican,Same party won president and House,FALSE
NE,NE-1,Mike Flood,R,Trump,R,Republican,Same party won president and House,FALSE
NE,NE-2,Don Bacon,R,Harris,R,Republican,Republican won Harris district,FALSE
NE,NE-3,Adrian Smith,R,Trump,R,Republican,Same party won president and House,FALSE
NH,NH-1,Chris Pappas,D,Harris,D,Democrat,Same party won president and House,FALSE
NH,NH-2,Maggie Goodlander,D,Harris,D,Democrat,Same party won president and House,FALSE
NJ,NJ-1,Donald Norcross,D,Harris,D,Democrat,Same party won president and House,FALSE
NJ,NJ-2,Jeff Van Drew,R,Trump,R,Republican,Same party won president and House,FALSE
NJ,NJ-3,Herb Conaway,D,Harris,D,Democrat,Same party won president and House,FALSE
NJ,NJ-4,Chris Smith,R,Trump,R,Republican,Same party won president and House,FALSE
NJ,NJ-5,Josh Gottheimer,D,Harris,D,Democrat,Same party won president and House,FALSE
NJ,NJ-6,Frank Pallone,D,Harris,D,Democrat,Same party won president and House,FALSE
NJ,NJ-7,Tom Kean,R,Trump,R,Republican,Same party won president and House,FALSE
NJ,NJ-8,Rob Menendez,D,Harris,D,Democrat,Same party won president and House,FALSE
NJ,NJ-9,Nellie Pou,D,Trump,D,Democrat,Democrat won Trump district,FALSE
NJ,NJ-10,LaMonica McIver,D,Harris,D,Democrat,Same party won president and House,FALSE
NJ,NJ-11,Analilia Mejia,D,Harris,D,Democrat,Same party won president and House,FALSE
NJ,NJ-12,Bonnie Watson Coleman,D,Harris,D,Democrat,Same party won president and House,FALSE
NM,NM-1,Melanie Stansbury,D,Harris,D,Democrat,Same party won president and House,FALSE
NM,NM-2,Gabe Vasquez,D,Trump,D,Democrat,Democrat won Trump district,FALSE
NM,NM-3,Teresa Leger Fernandez,D,Harris,D,Democrat,Same party won president and House,FALSE
NV,NV-1,Dina Titus,D,Harris,D,Democrat,Same party won president and House,FALSE
NV,NV-2,Mark Amodei,R,Trump,R,Republican,Same party won president and House,FALSE
NV,NV-3,Susie Lee,D,Trump,D,Democrat,Democrat won Trump district,FALSE
NV,NV-4,Steven Horsford,D,Harris,D,Democrat,Same party won president and House,FALSE
NY,NY-1,Nick LaLota,R,Trump,R,Republican,Same party won president and House,FALSE
NY,NY-2,Andrew Garbarino,R,Trump,R,Republican,Same party won president and House,FALSE
NY,NY-3,Tom Suozzi,D,Trump,D,Democrat,Democrat won Trump district,FALSE
NY,NY-4,Laura Gillen,D,Harris,D,Democrat,Same party won president and House,FALSE
NY,NY-5,Gregory Meeks,D,Harris,D,Democrat,Same party won president and House,FALSE
NY,NY-6,Grace Meng,D,Harris,D,Democrat,Same party won president and House,FALSE
NY,NY-7,Nydia Velazquez,D,Harris,D,Democrat,Same party won president and House,FALSE
NY,NY-8,Hakeem Jeffries,D,Harris,D,Democrat,Same party won president and House,FALSE
NY,NY-9,Yvette Clarke,D,Harris,D,Democrat,Same party won president and House,FALSE
NY,NY-10,Dan Goldman,D,Harris,D,Democrat,Same party won president and House,FALSE
NY,NY-11,Nicole Malliotakis,R,Trump,R,Republican,Same party won president and House,FALSE
NY,NY-12,Jerry Nadler,D,Harris,D,Democrat,Same party won president and House,FALSE
NY,NY-13,Adriano Espaillat,D,Harris,D,Democrat,Same party won president and House,FALSE
NY,NY-14,Alexandria Ocasio-Cortez,D,Harris,D,Democrat,Same party won president and House,FALSE
NY,NY-15,Ritchie Torres,D,Harris,D,Democrat,Same party won president and House,FALSE
NY,NY-16,George Latimer,D,Harris,D,Democrat,Same party won president and House,FALSE
NY,NY-17,Mike Lawler,R,Harris,R,Republican,Republican won Harris district,FALSE
NY,NY-18,Pat Ryan,D,Harris,D,Democrat,Same party won president and House,FALSE
NY,NY-19,Josh Riley,D,Harris,D,Democrat,Same party won president and House,FALSE
NY,NY-20,Paul Tonko,D,Harris,D,Democrat,Same party won president and House,FALSE
NY,NY-21,Elise Stefanik,R,Trump,R,Republican,Same party won president and House,FALSE
NY,NY-22,John Mannion,D,Harris,D,Democrat,Same party won president and House,FALSE
NY,NY-23,Nick Langworthy,R,Trump,R,Republican,Same party won president and House,FALSE
NY,NY-24,Claudia Tenney,R,Trump,R,Republican,Same party won president and House,FALSE
NY,NY-25,Joe Morelle,D,Harris,D,Democrat,Same party won president and House,FALSE
NY,NY-26,Tim Kennedy,D,Harris,D,Democrat,Same party won president and House,FALSE
OH,OH-1,Greg Landsman,D,Harris,D,Democrat,Same party won president and House,TRUE
OH,OH-2,David Taylor,R,Trump,R,Republican,Same party won president and House,TRUE
OH,OH-3,Joyce Beatty,D,Harris,D,Democrat,Same party won president and House,TRUE
OH,OH-4,Jim Jordan,R,Trump,R,Republican,Same party won president and House,TRUE
OH,OH-5,Bob Latta,R,Trump,R,Republican,Same party won president and House,TRUE
OH,OH-6,Michael Rulli,R,Trump,R,Republican,Same party won president and House,TRUE
OH,OH-7,Max Miller,R,Trump,R,Republican,Same party won president and House,TRUE
OH,OH-8,Warren Davidson,R,Trump,R,Republican,Same party won president and House,TRUE
OH,OH-9,Marcy Kaptur,D,Trump,D,Democrat,Democrat won Trump district,TRUE
OH,OH-10,Mike Turner,R,Trump,R,Republican,Same party won president and House,TRUE
OH,OH-11,Shontel Brown,D,Harris,D,Democrat,Same party won president and House,TRUE
OH,OH-12,Troy Balderson,R,Trump,R,Republican,Same party won president and House,TRUE
OH,OH-13,Emilia Sykes,D,Harris,D,Democrat,Same party won president and House,TRUE
OH,OH-14,Dave Joyce,R,Trump,R,Republican,Same party won president and House,TRUE
OH,OH-15,Mike Carey,R,Trump,R,Republican,Same party won president and House,TRUE
OK,OK-1,Kevin Hern,R,Trump,R,Republican,Same party won president and House,FALSE
OK,OK-2,Josh Brecheen,R,Trump,R,Republican,Same party won president and House,FALSE
OK,OK-3,Frank Lucas,R,Trump,R,Republican,Same party won president and House,FALSE
OK,OK-4,Tom Cole,R,Trump,R,Republican,Same party won president and House,FALSE
OK,OK-5,Stephanie Bice,R,Trump,R,Republican,Same party won president and House,FALSE
OR,OR-1,Suzanne Bonamici,D,Harris,D,Democrat,Same party won president and House,FALSE
OR,OR-2,Cliff Bentz,R,Trump,R,Republican,Same party won president and House,FALSE
OR,OR-3,Maxine Dexter,D,Harris,D,Democrat,Same party won president and House,FALSE
OR,OR-4,Val Hoyle,D,Harris,D,Democrat,Same party won president and House,FALSE
OR,OR-5,Janelle Bynum,D,Harris,D,Democrat,Same party won president and House,FALSE
OR,OR-6,Andrea Salinas,D,Harris,D,Democrat,Same party won president and House,FALSE
PA,PA-1,Brian Fitzpatrick,R,Harris,R,Republican,Republican won Harris district,FALSE
PA,PA-2,Brendan Boyle,D,Harris,D,Democrat,Same party won president and House,FALSE
PA,PA-3,Dwight Evans,D,Harris,D,Democrat,Same party won president and House,FALSE
PA,PA-4,Madeleine Dean,D,Harris,D,Democrat,Same party won president and House,FALSE
PA,PA-5,Mary Gay Scanlon,D,Harris,D,Democrat,Same party won president and House,FALSE
